file,nct,name,our_hr,aact_param_type,aact_value,aact_lci,aact_uci,aact_method,verdict,notes
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,0.21,Hazard Ratio (HR),0.1,0.06,0.17,Log Rank,DEFECT,"MAGNITUDE_DIFFER(our=0.21,aact=0.10)"
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,0.28,Hazard Ratio (HR),0.31,0.2,0.49,Log Rank,OK,
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,0.78,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,0.84,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,0.81,Hazard Ratio (HR),0.82,0.726,0.927,Gehan-Wilcoxon,OK,
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,1.36,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,0.56,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,0.5,Hazard Ratio (HR),0.54,0.44,0.66,Log Rank,OK,
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,0.5,Cox Proportional Hazard,0.5085,0.4012,0.6444,Log Rank,OK,
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,0.62,Hazard Ratio (HR),0.62,0.52,0.75,Log Rank,OK,
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,0.33,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,0.65,Hazard Ratio (HR),0.65,0.549,0.771,Log Rank,OK,
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,0.528,Hazard Ratio (HR),0.528,0.422,0.661,Log Rank,OK,
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,0.36,Hazard Ratio (HR),0.3589,0.284,0.4535,Log Rank,OK,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,0.57,Hazard Ratio (HR),0.57,0.43,0.74,"Regression, Cox",OK,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,0.65,Hazard Ratio (HR),0.71,0.6,0.86,Log Rank,OK,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,0.47,"Hazard Ratio, log",0.47,0.39,0.58,Log Rank,OK,
