file,nct,action
ABLATION_AF_REVIEW.html,NCT01420393,ADDED_1_ROWS
ABLATION_AF_REVIEW.html,NCT01288352,ADDED_1_ROWS
ABLATION_AF_REVIEW.html,NCT00911508,ADDED_1_ROWS
ABLATION_AF_REVIEW.html,NCT00643188,ADDED_1_ROWS
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ADDED_1_ROWS
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ADDED_1_ROWS
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ADDED_1_ROWS
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,ADDED_1_ROWS
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ADDED_1_ROWS
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,ADDED_1_ROWS
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,ADDED_1_ROWS
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,ADDED_1_ROWS
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,ADDED_1_ROWS
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,ADDED_1_ROWS
ADC_HER2_NMA_REVIEW.html,NCT03523585,ADDED_1_ROWS
ADC_HER2_NMA_REVIEW.html,NCT01419197,ADDED_1_ROWS
ADC_HER2_NMA_REVIEW.html,NCT00829166,ADDED_1_ROWS
ADC_HER2_NMA_REVIEW.html,NCT03529110,ADDED_1_ROWS
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,ADDED_1_ROWS
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,ADDED_1_ROWS
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,ADDED_1_ROWS
AFICAMTEN_HCM_REVIEW.html,NCT05186818,ADDED_1_ROWS
AFLIBERCEPT_HD_REVIEW.html,NCT04429503,ADDED_1_ROWS
AFLIBERCEPT_HD_REVIEW.html,NCT04423718,ADDED_1_ROWS
AGYW_HIV_PREP_NMA_REVIEW.html,NCT01386294,ADDED_1_ROWS
AGYW_HIV_PREP_NMA_REVIEW.html,NCT02732730,ADDED_1_ROWS
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05001945,ADDED_1_ROWS
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05137002,ADDED_1_ROWS
ALK_NSCLC_NMA_REVIEW.html,NCT02767804,ADDED_1_ROWS
ALK_NSCLC_NMA_REVIEW.html,NCT03052608,ADDED_1_ROWS
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ADDED_1_ROWS
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ADDED_1_ROWS
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04797650,ADDED_1_ROWS
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04518995,ADDED_1_ROWS
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03732807,ADDED_1_ROWS
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03899259,ADDED_1_ROWS
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03570749,ADDED_1_ROWS
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,ADDED_1_ROWS
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277248,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277261,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792231,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792218,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT01412333,ADDED_1_ROWS
ANTI_CD20_MS_NMA_REVIEW.html,NCT01247324,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT01900665,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03443973,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03444870,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02484547,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02477800,ADDED_1_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT04437511,ADDED_2_ROWS
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03887455,ADDED_1_ROWS
ANTIAMYLOID_AD_REVIEW.html,NCT02484547,ADDED_1_ROWS
ANTIAMYLOID_AD_REVIEW.html,NCT02477800,ADDED_1_ROWS
ANTIAMYLOID_AD_REVIEW.html,NCT04437511,ADDED_2_ROWS
