file,name,n,age,pct_female,followup
ACALABRUTINIB_CLL_REVIEW.html,ELEVATE-TN,356,,,
ACALABRUTINIB_CLL_REVIEW.html,ASCEND,310,,,
ACORAMIDIS_ATTR_CM_REVIEW.html,ATTRibute-CM,632,,,
ACS_ANTIPLATELET_REVIEW.html,PLATO,18624,,,
ACS_ANTIPLATELET_REVIEW.html,TRITON-TIMI 38,13608,,,
ACS_ANTIPLATELET_REVIEW.html,ISAR-REACT 5,4018,,,
ACS_ANTIPLATELET_REVIEW.html,TWILIGHT,7119,,,12.0
ADC_HER2_ADJUVANT_REVIEW.html,KATHERINE,1486,,,
ADC_HER2_LOW_REVIEW.html,DESTINY-Breast04,557,,,
ADC_HER2_LOW_REVIEW.html,DESTINY-Breast06,866,,,
ADC_HER2_NMA_REVIEW.html,DESTINY-Breast03,524,,,
ADC_HER2_NMA_REVIEW.html,EMILIA,991,,,
ADC_HER2_NMA_REVIEW.html,TH3RESA,602,,,
ADC_HER2_NMA_REVIEW.html,DESTINY-Breast02,608,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,KEYNOTE-054,1019,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,CheckMate-238,906,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,COMBI-AD,870,,,
AFICAMTEN_HCM_REVIEW.html,SEQUOIA-HCM,282,,,5.5
AFLIBERCEPT_HD_REVIEW.html,PULSAR,671,,,11.0
AFLIBERCEPT_HD_REVIEW.html,PHOTON,495,,,11.0
AGYW_HIV_PREP_REVIEW.html,"HPTN 082 (oral PrEP, AGYW)",451,,,6.0
AGYW_HIV_PREP_REVIEW.html,"FACTS-001 (vaginal tenofovir gel, AGYW)",2024,,,
ALDO_SYNTHASE_REVIEW.html,BrigHTN,248,,,
ALDO_SYNTHASE_REVIEW.html,Target-HTN,200,,,5.5
ALK_NSCLC_REVIEW.html,ALEX,303,,,
ALK_NSCLC_REVIEW.html,ALTA-1L,275,,,
ALK_NSCLC_REVIEW.html,CROWN,296,,,
ALK_NSCLC_REVIEW.html,eXalt3,290,,,
ALOPECIA_JAKI_REVIEW.html,BRAVE-AA1,470,,,8.3
ALOPECIA_JAKI_REVIEW.html,BRAVE-AA2,390,,,8.3
ALOPECIA_JAKI_REVIEW.html,ALLEGRO-2b/3,261,,,5.5
ALOPECIA_JAKI_REVIEW.html,THRIVE-AA1,352,,,5.5
ALOPECIA_JAKI_REVIEW.html,THRIVE-AA2,261,,,5.5
ANIFROLUMAB_SLE_REVIEW.html,TULIP-1,364,,,12.0
ANIFROLUMAB_SLE_REVIEW.html,TULIP-2,362,,,12.0
ANTI_CD20_MS_REVIEW.html,OPERA I,821,,,
ANTI_CD20_MS_REVIEW.html,OPERA II,835,,,
ANTI_CD20_MS_REVIEW.html,ASCLEPIOS I,927,,,30.0
ANTI_CD20_MS_REVIEW.html,ASCLEPIOS II,955,,,30.0
ANTI_CD20_MS_REVIEW.html,ULTIMATE I,549,,,
ANTI_CD20_MS_REVIEW.html,ULTIMATE II,544,,,
ANTIAMYLOID_AD_NMA_REVIEW.html,Clarity AD,1734,,,
ANTIAMYLOID_AD_NMA_REVIEW.html,TRAILBLAZER-ALZ 2,1736,,,
ANTIAMYLOID_AD_NMA_REVIEW.html,EMERGE,1092,,,
ANTIAMYLOID_AD_NMA_REVIEW.html,ENGAGE,1103,,,
ANTIAMYLOID_AD_NMA_REVIEW.html,GRADUATE I,985,,,26.7
ANTIAMYLOID_AD_NMA_REVIEW.html,GRADUATE II,980,,,26.7
ANTIAMYLOID_AD_NMA_REVIEW.html,EXPEDITION 3,2129,,,
ANTIAMYLOID_AD_REVIEW.html,Clarity-AD,1795,,,
ANTIAMYLOID_AD_REVIEW.html,TRAILBLAZER-ALZ2,1736,,,
ANTIAMYLOID_AD_REVIEW.html,EMERGE,1092,,,18.0
ANTIAMYLOID_AD_REVIEW.html,ENGAGE,1103,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,VIEW-1,608,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,VIEW-2,597,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,TENAYA,671,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,LUCERNE,658,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,PULSAR,671,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,HAWK,720,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,HARRIER,739,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,CATT,570,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,MARINA,478,,,
ANTIVEGF_NAMD_NMA_REVIEW.html,ANCHOR,283,,,
ARPI_mHSPC_REVIEW.html,ARCHES,1150,,,
ARPI_mHSPC_REVIEW.html,ENZAMET,1125,,,
ARPI_mHSPC_REVIEW.html,TITAN,1052,,,
ARPI_mHSPC_REVIEW.html,ARASENS,1305,,,
ARPI_mHSPC_REVIEW.html,LATITUDE,1199,,,
ARPI_NMCRPC_REVIEW.html,SPARTAN,1207,,,
ARPI_NMCRPC_REVIEW.html,PROSPER,1401,,,
ARPI_NMCRPC_REVIEW.html,ARAMIS,1509,,,
ATOPIC_DERM_NMA_REVIEW.html,SOLO-1-Dupi,448,,,3.7
ATOPIC_DERM_NMA_REVIEW.html,ECZTRA-1,500,,,3.7
ATOPIC_DERM_NMA_REVIEW.html,ADvocate1,424,,,3.7
ATOPIC_DERM_NMA_REVIEW.html,ARCADIA-1,614,,,3.7
ATOPIC_DERM_NMA_REVIEW.html,JADE-MONO-1,231,,,2.8
ATOPIC_DERM_NMA_REVIEW.html,MeasureUp-1,422,,,3.7
ATOPIC_DERM_NMA_REVIEW.html,BREEZE-AD1,498,,,3.7
ATTR_PN_REVIEW.html,APOLLO,225,,,
ATTR_PN_REVIEW.html,HELIOS-A,199,,,
ATTR_PN_REVIEW.html,NEURO-TTRansform,204,,,15.0
AVACINCAPTAD_GA_REVIEW.html,GATHER-1,177,,,
AVACINCAPTAD_GA_REVIEW.html,GATHER-2,448,,,
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,MORDOR-I,190000,,,24.0
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,MORDOR-II,100000,,,
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,AVENIR,90000,,,24.0
BELIMUMAB_SLE_REVIEW.html,BLISS-52,418,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-76,392,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-SC,836,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-LN,446,,,23.9
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-VIVID,404,,,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-READY,435,,,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-SURE,478,,,
BIOLOGIC_ASTHMA_REVIEW.html,MENSA,576,,,
BIOLOGIC_ASTHMA_REVIEW.html,CALIMA,487,,,
BIOLOGIC_ASTHMA_REVIEW.html,QUEST,952,,,
BIOLOGIC_ASTHMA_REVIEW.html,NAVIGATOR,1059,,,
BPAL_MDRTB_REVIEW.html,TB-PRACTECAL,251,,,
BPAL_MDRTB_REVIEW.html,STREAM-2,409,,,
BPAL_MDRTB_REVIEW.html,endTB-MDR,306,,,
BTKI_CLL_NMA_REVIEW.html,ELEVATE-TN,356,,,
BTKI_CLL_NMA_REVIEW.html,ELEVATE-RR,533,,,
BTKI_CLL_NMA_REVIEW.html,ALPINE,652,,,
BTKI_CLL_NMA_REVIEW.html,RESONATE-2,269,,,
BTKI_CLL_NMA_REVIEW.html,SEQUOIA,479,,,
BTKI_CLL_NMA_REVIEW.html,RESONATE,391,,,
BTKI_CLL_NMA_REVIEW.html,ASCEND,310,,,
CAB_PREP_HIV_REVIEW.html,HPTN 083,4566,,,
CAB_PREP_HIV_REVIEW.html,HPTN 084,3224,,,
CABOTEGRAVIR_HIV_ART_REVIEW.html,ATLAS,616,,,11.0
CABOTEGRAVIR_HIV_ART_REVIEW.html,FLAIR,566,,,11.0
CABOTEGRAVIR_HIV_ART_REVIEW.html,ATLAS-2M,1045,,,11.0
CANGRELOR_PCI_REVIEW.html,CHAMPION-PCI,8925,,,
CANGRELOR_PCI_REVIEW.html,CHAMPION-PLATFORM,5295,,,
CANGRELOR_PCI_REVIEW.html,CHAMPION-PHOENIX,10942,,,
CAPIVASERTIB_BC_REVIEW.html,CAPItello-291,708,,,
