file,key,name,demographics,eligibility,safety_ae,score_3
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,N,N,N,0
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,N,N,N,0
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,N,N,N,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,N,N,N,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,N,N,N,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,N,N,N,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,N,N,N,0
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,N,N,N,0
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,N,N,N,0
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,N,N,N,0
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,N,N,N,0
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,N,N,N,0
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,N,N,N,0
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,N,N,N,0
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,N,N,N,0
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,N,N,N,0
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,N,N,N,0
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,N,N,N,0
AFLIBERCEPT_HD_REVIEW.html,NCT04423718,PULSAR,N,N,N,0
AFLIBERCEPT_HD_REVIEW.html,NCT04429503,PHOTON,N,N,N,0
AGYW_HIV_PREP_NMA_REVIEW.html,NCT02732730,"HPTN 082 (oral PrEP, AGYW)",N,N,N,0
AGYW_HIV_PREP_NMA_REVIEW.html,NCT01386294,"FACTS-001 (vaginal tenofovir gel, AGYW)",N,N,N,0
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05137002,BrigHTN,N,N,N,0
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05001945,Target-HTN,N,N,N,0
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ALEX,N,N,N,0
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ALTA-1L,N,N,N,0
ALK_NSCLC_NMA_REVIEW.html,NCT03052608,CROWN,N,N,N,0
ALK_NSCLC_NMA_REVIEW.html,NCT02767804,eXalt3,N,N,N,0
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03570749,BRAVE-AA1,N,N,N,0
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03899259,BRAVE-AA2,N,N,N,0
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03732807,ALLEGRO-2b/3,N,N,N,0
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04518995,THRIVE-AA1,N,N,N,0
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04797650,THRIVE-AA2,N,N,N,0
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,TULIP-1,N,N,N,0
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,TULIP-2,N,N,N,0
ANTI_CD20_MS_NMA_REVIEW.html,NCT01247324,OPERA I,N,N,N,0
ANTI_CD20_MS_NMA_REVIEW.html,NCT01412333,OPERA II,N,N,N,0
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792218,ASCLEPIOS I,N,N,N,0
