review,nct,trial_name,verdict,matches,mismatches,fields_compared,extracted_pmid,true_pmid,doi
ARNI_HF_REVIEW,NCT01035255,PARADIGM-HF,EXACT_MATCH,7,0,7,25176015,25176015,10.1056/NEJMoa1409077
CARDIORENAL_DKD_NMA_REVIEW,NCT02540993,FIDELIO-DKD,EXACT_MATCH,7,0,7,33264825,33053267,10.1056/NEJMoa2025845
CARDIORENAL_DKD_NMA_REVIEW,NCT02545049,FIGARO-DKD,EXACT_MATCH,7,0,7,34775784,34449181,10.1056/NEJMoa2110956
DOAC_AF_NMA_REVIEW,NCT00403767,ROCKET AF,DIVERGE,4,3,7,21830957,21830957,10.1056/NEJMoa1009638
DOAC_AF_NMA_REVIEW,NCT00412984,ARISTOTLE,EXACT_MATCH,7,0,7,21870978,21870978,10.1056/NEJMoa1107039
DOAC_AF_REVIEW,NCT00403767,ROCKET AF,DIVERGE,2,5,7,21830957,21830957,10.1056/NEJMoa1009638
DOAC_AF_REVIEW,NCT00412984,ARISTOTLE,EXACT_MATCH,7,0,7,21870978,21870978,10.1056/NEJMoa1107039
FINERENONE_REVIEW,NCT02540993,FIDELIO-DKD,DIVERGE,4,3,7,33264825,33053267,10.1056/NEJMoa2025845
FINERENONE_REVIEW,NCT02545049,FIGARO-DKD,EXACT_MATCH,7,0,7,34775784,34449181,10.1056/NEJMoa2110956
FINERENONE_REVIEW,NCT04435626,FINEARTS-HF,EXACT_MATCH,7,0,7,39225278,39213776,10.1056/NEJMoa2407107
FRAGILITY_FRACTURE_REVIEW,NCT00089791,FREEDOM,DIVERGE,0,3,3,19671655,19671655,10.1056/NEJMoa0809493
HF_QUADRUPLE_NMA_REVIEW,NCT03036124,DAPA-HF,EXACT_MATCH,7,0,7,31535829,31535829,10.1056/NEJMoa1911303
HF_QUADRUPLE_NMA_REVIEW,NCT03057977,EMPEROR-Reduced,EXACT_MATCH,7,0,7,32865377,32865377,10.1056/NEJMoa2022190
HF_QUADRUPLE_NMA_REVIEW,NCT03619213,DELIVER,EXACT_MATCH,7,0,7,38265835,36027564,10.1056/NEJMoa2206286
HF_QUADRUPLE_NMA_REVIEW,NCT03057951,EMPEROR-Preserved,EXACT_MATCH,7,0,7,34449189,34449189,10.1056/NEJMoa2107038
HF_QUADRUPLE_NMA_REVIEW,NCT01035255,PARADIGM-HF,EXACT_MATCH,7,0,7,25176015,25176015,10.1056/NEJMoa1409077
HF_QUADRUPLE_NMA_REVIEW,NCT04435626,FINEARTS-HF,PARTIAL_MATCH,6,1,7,40916719,39213776,10.1056/NEJMoa2407107
HFpEF_DRUGS_NMA_REVIEW,NCT03619213,DELIVER,EXACT_MATCH,7,0,7,,36027564,10.1056/NEJMoa2206286
HFpEF_DRUGS_NMA_REVIEW,NCT03057951,EMPEROR-Preserved,EXACT_MATCH,7,0,7,34449189,34449189,10.1056/NEJMoa2107038
HFpEF_DRUGS_NMA_REVIEW,NCT04435626,FINEARTS-HF,EXACT_MATCH,7,0,7,,39213776,10.1056/NEJMoa2407107
SGLT2_BROAD_OUTCOMES_NMA_REVIEW,NCT01131676,EMPA-REG OUTCOME,EXACT_MATCH,7,0,7,26378978,26378978,10.1056/NEJMoa1504720
SGLT2_BROAD_OUTCOMES_NMA_REVIEW,NCT03036124,DAPA-HF,EXACT_MATCH,7,0,7,31535829,31535829,10.1056/NEJMoa1911303
SGLT2_BROAD_OUTCOMES_NMA_REVIEW,NCT03057977,EMPEROR-Reduced,EXACT_MATCH,7,0,7,32865377,32865377,10.1056/NEJMoa2022190
SGLT2_BROAD_OUTCOMES_NMA_REVIEW,NCT03057951,EMPEROR-Preserved,EXACT_MATCH,7,0,7,34449189,34449189,10.1056/NEJMoa2107038
SGLT2_BROAD_OUTCOMES_NMA_REVIEW,NCT03619213,DELIVER,EXACT_MATCH,7,0,7,,36027564,10.1056/NEJMoa2206286
SGLT2_HF_REVIEW,NCT03036124,DAPA-HF,EXACT_MATCH,7,0,7,31535829,31535829,10.1056/NEJMoa1911303
SGLT2_HF_REVIEW,NCT03057977,EMPEROR-Reduced,EXACT_MATCH,7,0,7,32865377,32865377,10.1056/NEJMoa2022190
SGLT2_HF_REVIEW,NCT03057951,EMPEROR-Preserved,EXACT_MATCH,7,0,7,34449189,34449189,10.1056/NEJMoa2107038
SGLT2_HF_REVIEW,NCT03619213,DELIVER,EXACT_MATCH,7,0,7,36029465,36027564,10.1056/NEJMoa2206286
SGLT2_MACE_CVOT_REVIEW,NCT01131676,EMPA-REG OUTCOME,EXACT_MATCH,7,0,7,26378978,26378978,10.1056/NEJMoa1504720
SGLT2I_HF_NMA_REVIEW,NCT03036124,DAPA-HF,EXACT_MATCH,7,0,7,31535829,31535829,10.1056/NEJMoa1911303
SGLT2I_HF_NMA_REVIEW,NCT03057977,EMPEROR-Reduced,EXACT_MATCH,7,0,7,32865377,32865377,10.1056/NEJMoa2022190
SGLT2I_HF_NMA_REVIEW,NCT03057951,EMPEROR-Preserved,EXACT_MATCH,7,0,7,34449189,34449189,10.1056/NEJMoa2107038
SGLT2I_HF_NMA_REVIEW,NCT03619213,DELIVER,EXACT_MATCH,7,0,7,36029465,36027564,10.1056/NEJMoa2206286
