pool_id,source_file,row_id,trial_key,citation_id,original_pmid,erratum_pmids,populated_cells
ACALABRUTINIB_CLL_REVIEW,ACALABRUTINIB_CLL_REVIEW.html,ACALABRUTINIB_CLL_REVIEW:NCT02475681,NCT02475681,PMID32305093,32305093,32473678,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
ADC_HER2_NMA_REVIEW,ADC_HER2_NMA_REVIEW.html,ADC_HER2_NMA_REVIEW:NCT03529110,NCT03529110,PMID36495879,36495879,36803433,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
ADC_HER2_NMA_REVIEW,ADC_HER2_NMA_REVIEW.html,ADC_HER2_NMA_REVIEW:NCT00829166,NCT00829166,PMID23020162,23020162,,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
ADC_HER2_NMA_REVIEW,ADC_HER2_NMA_REVIEW.html,ADC_HER2_NMA_REVIEW:NCT03523585,NCT03523585,PMID37086745,37086745,38070948;38460989,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ALIROCUMAB_LIPID_AUTO_REVIEW,ALIROCUMAB_LIPID_AUTO_REVIEW.html,ALIROCUMAB_LIPID_AUTO_REVIEW:NCT02107898,NCT02107898,PMID27452202,27452202,27784878,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ANTIVEGF_NAMD_NMA_REVIEW,ANTIVEGF_NAMD_NMA_REVIEW.html,ANTIVEGF_NAMD_NMA_REVIEW:NCT00509795,NCT00509795,PMID23084240,23084240,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ARNI_HF_REVIEW,ARNI_HF_REVIEW.html,ARNI_HF_REVIEW:NCT02924727,NCT02924727,PMID34758252,34758252,34965357,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ASCORBIC_ACID_SEPSIS_AUTO_REVIEW,ASCORBIC_ACID_SEPSIS_AUTO_REVIEW.html,ASCORBIC_ACID_SEPSIS_AUTO_REVIEW:NCT02106975,NCT02106975,PMID31573637,31573637,31990296,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BELIMUMAB_LN_AUTO_REVIEW,BELIMUMAB_LN_AUTO_REVIEW.html,BELIMUMAB_LN_AUTO_REVIEW:NCT02260934,NCT02260934,PMID32755035,32755035,34890126,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BELIMUMAB_LUPUS_NEPH_AUTO_REVIEW,BELIMUMAB_LUPUS_NEPH_AUTO_REVIEW.html,BELIMUMAB_LUPUS_NEPH_AUTO_REVIEW:NCT02260934,NCT02260934,PMID32755035,32755035,34890126,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BIMEKIZUMAB_HS_AUTO_REVIEW,BIMEKIZUMAB_HS_AUTO_REVIEW.html,BIMEKIZUMAB_HS_AUTO_REVIEW:NCT03248531,NCT03248531,PMID34406364,34406364,34787672,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BOSENTAN_PAH_AUTO_REVIEW,BOSENTAN_PAH_AUTO_REVIEW.html,BOSENTAN_PAH_AUTO_REVIEW:NCT00319020,NCT00319020,PMID26386921,26386921,27623401,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BTKI_CLL_NMA_REVIEW,BTKI_CLL_NMA_REVIEW.html,BTKI_CLL_NMA_REVIEW:NCT02475681,NCT02475681,PMID32305093,32305093,32473678,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
BTKI_CLL_NMA_REVIEW,BTKI_CLL_NMA_REVIEW.html,BTKI_CLL_NMA_REVIEW:NCT03336333,NCT03336333,PMID35810754,35810754,36858727,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
BUDESONIDE_IBD_AUTO_REVIEW,BUDESONIDE_IBD_AUTO_REVIEW.html,BUDESONIDE_IBD_AUTO_REVIEW:NCT01532648,NCT01532648,PMID28333362,28333362,28453665,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
CART_DLBCL_REVIEW,CART_DLBCL_REVIEW.html,CART_DLBCL_REVIEW:NULLED:NCT03575351,NULLED:NCT03575351,PMID35717989,35717989,35843242,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
CDK46_BREAST_CANCER_REVIEW,CDK46_BREAST_CANCER_REVIEW.html,CDK46_BREAST_CANCER_REVIEW:NCT01958021,NCT01958021,PMID27717303,27717303,30586508,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
CDK46_MBC_REVIEW,CDK46_MBC_REVIEW.html,CDK46_MBC_REVIEW:NCT01958021,NCT01958021,PMID27717303,27717303,30586508,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
CFTR_CF_REVIEW,CFTR_CF_REVIEW.html,CFTR_CF_REVIEW:NULLED:NCT03525548,NULLED:NCT03525548,PMID31679946,31679946,32473673,n_c;n_t;outcome;reported_n;trial_true_n
CGRP_MIGRAINE_NMA_REVIEW,CGRP_MIGRAINE_NMA_REVIEW.html,CGRP_MIGRAINE_NMA_REVIEW:NCT02614183,NCT02614183,PMID29813147,29813147,31135817,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
CGRP_MIGRAINE_REVIEW,CGRP_MIGRAINE_REVIEW.html,CGRP_MIGRAINE_REVIEW:NCT02614183,NCT02614183,PMID29813147,29813147,31135817,n_c;n_t;outcome;reported_n;trial_true_n
DARIDOREXANT_INSOMNIA_AUTO_REVIEW,DARIDOREXANT_INSOMNIA_AUTO_REVIEW.html,DARIDOREXANT_INSOMNIA_AUTO_REVIEW:NCT03575104,NCT03575104,PMID35065036,35065036,35065710;35395205,n_c;n_t;outcome;reported_n;trial_true_n
DARIDOREXANT_INSOMNIA_AUTO_REVIEW,DARIDOREXANT_INSOMNIA_AUTO_REVIEW.html,DARIDOREXANT_INSOMNIA_AUTO_REVIEW:NCT03545191,NCT03545191,PMID35065036,35065036,35065710;35395205,n_c;n_t;outcome;reported_n;trial_true_n
DEFEROXAMINE_IRON_AUTO_REVIEW,DEFEROXAMINE_IRON_AUTO_REVIEW.html,DEFEROXAMINE_IRON_AUTO_REVIEW:NCT02041299,NCT02041299,PMID34847228,34847228,37368454,n_c;n_t;outcome;reported_n;trial_true_n
DOAC_AF_NMA_REVIEW,DOAC_AF_NMA_REVIEW.html,DOAC_AF_NMA_REVIEW:NCT00262600,NCT00262600,PMID19717844,19717844,,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
DOAC_AF_REVIEW,DOAC_AF_REVIEW.html,DOAC_AF_REVIEW:NCT00262600,NCT00262600,PMID19717844,19717844,,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
DOAC_VTE_NMA_REVIEW,DOAC_VTE_NMA_REVIEW.html,DOAC_VTE_NMA_REVIEW:NCT00986154,NCT00986154,PMID23991658,23991658,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
EBOLA_VACCINE_REVIEW,EBOLA_VACCINE_REVIEW.html,EBOLA_VACCINE_REVIEW:LEGACY-PACTR-EBOLA-CI-RING,LEGACY-PACTR-EBOLA-CI-RING,PMID28017403,28017403,28024962;28170333,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se
ECULIZUMAB_GMG_AUTO_REVIEW,ECULIZUMAB_GMG_AUTO_REVIEW.html,ECULIZUMAB_GMG_AUTO_REVIEW:NCT01997229,NCT01997229,PMID29066163,29066163,29165251,n_c;n_t;outcome;reported_n;trial_true_n
ECULIZUMAB_MYASTHENIA_AUTO_REVIEW,ECULIZUMAB_MYASTHENIA_AUTO_REVIEW.html,ECULIZUMAB_MYASTHENIA_AUTO_REVIEW:NCT01997229,NCT01997229,PMID29066163,29066163,29165251,n_c;n_t;outcome;reported_n;trial_true_n
EDOXABAN_CANCER_VTE_AUTO_REVIEW,EDOXABAN_CANCER_VTE_AUTO_REVIEW.html,EDOXABAN_CANCER_VTE_AUTO_REVIEW:NCT02798471,NCT02798471,PMID23991658,23991658,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
EDOXABAN_VTE_AUTO_REVIEW,EDOXABAN_VTE_AUTO_REVIEW.html,EDOXABAN_VTE_AUTO_REVIEW:NCT02798471,NCT02798471,PMID23991658,23991658,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ELACESTRANT_BC_REVIEW,ELACESTRANT_BC_REVIEW.html,ELACESTRANT_BC_REVIEW:NCT03778931,NCT03778931,PMID35584336,35584336,37364222,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ENDOMETRIAL_IO_PARP_REVIEW,ENDOMETRIAL_IO_PARP_REVIEW.html,ENDOMETRIAL_IO_PARP_REVIEW:NCT04269200,NCT04269200,PMID37864337,37864337,39121439,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
ENOXAPARIN_VTE_AUTO_REVIEW,ENOXAPARIN_VTE_AUTO_REVIEW.html,ENOXAPARIN_VTE_AUTO_REVIEW:NCT00362232,NCT00362232,PMID19411100,19411100,36502842,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ETANERCEPT_RA_AUTO_REVIEW,ETANERCEPT_RA_AUTO_REVIEW.html,ETANERCEPT_RA_AUTO_REVIEW:NCT01623752,NCT01623752,PMID36251174,36251174,37728862;38019453,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ETANERCEPT_RA_AUTO_REVIEW,ETANERCEPT_RA_AUTO_REVIEW.html,ETANERCEPT_RA_AUTO_REVIEW:NCT00520572,NCT00520572,PMID22966146,22966146,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
ETRASIMOD_UC_REVIEW,ETRASIMOD_UC_REVIEW.html,ETRASIMOD_UC_REVIEW:NCT03945188,NCT03945188,PMID36871574,36871574,36965962,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
EVINACUMAB_HOFH_AUTO_REVIEW,EVINACUMAB_HOFH_AUTO_REVIEW.html,EVINACUMAB_HOFH_AUTO_REVIEW:NCT04233918,NCT04233918,PMID37860863,37860863,40623081,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
EVOBRUTINIB_MS_AUTO_REVIEW,EVOBRUTINIB_MS_AUTO_REVIEW.html,EVOBRUTINIB_MS_AUTO_REVIEW:NCT04338061,NCT04338061,PMID39307151,39307151,41864240,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
EVOBRUTINIB_MS_AUTO_REVIEW,EVOBRUTINIB_MS_AUTO_REVIEW.html,EVOBRUTINIB_MS_AUTO_REVIEW:NCT04338022,NCT04338022,PMID39307151,39307151,41864240,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
EVT_LARGECORE_REVIEW,EVT_LARGECORE_REVIEW.html,EVT_LARGECORE_REVIEW:NCT03876457,NCT03876457,PMID36762865,36762865,38265667,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
FARICIMAB_DME_AUTO_REVIEW,FARICIMAB_DME_AUTO_REVIEW.html,FARICIMAB_DME_AUTO_REVIEW:NCT04432831,NCT04432831,PMID41534798,41534798,42171540,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
FCM_HF_REVIEW,FCM_HF_REVIEW.html,FCM_HF_REVIEW:NCT02937454,NCT02937454,PMID33197395,33197395,34838177,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
FEBUXOSTAT_GOUT_AUTO_REVIEW,FEBUXOSTAT_GOUT_AUTO_REVIEW.html,FEBUXOSTAT_GOUT_AUTO_REVIEW:NCT02579096,NCT02579096,PMID35434725,35434725,38319265;38319876,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
FGFR_INHIBITORS_SOLID_REVIEW,FGFR_INHIBITORS_SOLID_REVIEW.html,FGFR_INHIBITORS_SOLID_REVIEW:NCT02924376,NCT02924376,PMID32203698,32203698,38181811,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;trial_true_n
FILGOTINIB_RA_AUTO_REVIEW,FILGOTINIB_RA_AUTO_REVIEW.html,FILGOTINIB_RA_AUTO_REVIEW:NCT02873936,NCT02873936,PMID31334793,31334793,32016292,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
FRAGILITY_FRACTURE_REVIEW,FRAGILITY_FRACTURE_REVIEW.html,FRAGILITY_FRACTURE_REVIEW:NCT00089791,NCT00089791,PMID19671655,19671655,,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
GANTENERUMAB_AD_AUTO_REVIEW,GANTENERUMAB_AD_AUTO_REVIEW.html,GANTENERUMAB_AD_AUTO_REVIEW:NCT04374253,NCT04374253,PMID39556389,39556389,39992631,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
GIVINOSTAT_DMD_AUTO_REVIEW,GIVINOSTAT_DMD_AUTO_REVIEW.html,GIVINOSTAT_DMD_AUTO_REVIEW:NCT02851797,NCT02851797,PMID38508835,38508835,38643778;39030045,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
GLP1_MASH_REVIEW,GLP1_MASH_REVIEW.html,GLP1_MASH_REVIEW:NCT04166773,NCT04166773,PMID38856224,38856224,41880634,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
