file,key,claim_name,claim_year,pmid,verdict,claim_nct,pubmed_registered_ncts,match,pubmed_title,pubmed_year
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,2020,32305093,OK,NCT02475681,NCT02475681,YES,Acalabrutinib with or without obinutuzumab versus chlorambucil and obinutuzmab for treatment-naive c,2020
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,2020,32459600,OK,NCT02970318,NCT02970318,YES,"ASCEND: Phase III, Randomized Trial of Acalabrutinib Versus Idelalisib Plus Rituximab or Bendamustin",2020
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,2024,38842402,NO_DATABANK,NCT03860935,,,Schwannian and Perineuriomatous Differentiation in a Series of Giant Congenital Melanocytic Nevi.,2024
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,2009,19717846,OK,NCT00391872,NCT00391872,YES,Ticagrelor versus clopidogrel in patients with acute coronary syndromes.,2009
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,2007,17982182,OK,NCT00097591,NCT00097591,YES,Prasugrel versus clopidogrel in patients with acute coronary syndromes.,2007
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,2019,31475799,OK,NCT01944800,NCT01944800,YES,Ticagrelor or Prasugrel in Patients with Acute Coronary Syndromes.,2019
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,2019,31556978,OK,NCT02270242,NCT02270242,YES,Ticagrelor with or without Aspirin in High-Risk Patients after PCI.,2019
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,2019,30516102,OK,NCT01772472,NCT01772472,YES,Trastuzumab Emtansine for Residual Invasive HER2-Positive Breast Cancer.,2019
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,2022,35665782,OK,NCT03734029,NCT03734029,YES,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer.,2022
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,2024,39282896,OK,NCT04494425,NCT04494425,YES,Trastuzumab Deruxtecan after Endocrine Therapy in Metastatic Breast Cancer.,2024
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,2022,36495879,OK,NCT03529110,NCT03529110,YES,Trastuzumab deruxtecan versus trastuzumab emtansine in patients with HER2-positive metastatic breast,2023
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,2012,23020162,OK,NCT00829166,NCT00829166,YES,Trastuzumab emtansine for HER2-positive advanced breast cancer.,2012
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,2014,24793816,OK,NCT01419197,NCT01419197,YES,Trastuzumab emtansine versus treatment of physician's choice for pretreated HER2-positive advanced b,2014
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,2023,37086745,OK,NCT03523585,NCT03523585,YES,Trastuzumab deruxtecan versus treatment of physician's choice in patients with HER2-positive metasta,2023
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,2018,29658430,OK,NCT02362594,NCT02362594,YES,Adjuvant Pembrolizumab versus Placebo in Resected Stage III Melanoma.,2018
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,2017,28891423,OK,NCT02388906,NCT02388906,YES,Adjuvant Nivolumab versus Ipilimumab in Resected Stage III or IV Melanoma.,2017
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,2017,28891408,OK,NCT01682083,NCT01682083,YES,Adjuvant Dabrafenib plus Trametinib in Stage III BRAF-Mutated Melanoma.,2017
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,2024,38754167,NO_DATABANK,NCT05186818,,,Applications and characterization of anti-browning enzymatically modified potato starch (EPS) film a,2024
AFLIBERCEPT_HD_REVIEW.html,NCT04423718,PULSAR,2024,38461841,OK,NCT04423718,NCT04423718,YES,Intravitreal aflibercept 8 mg in neovascular age-related macular degeneration (PULSAR): 48-week resu,2024
AFLIBERCEPT_HD_REVIEW.html,NCT04429503,PHOTON,2024,38461843,OK,NCT04429503,NCT04429503,YES,Intravitreal aflibercept 8 mg in diabetic macular oedema (PHOTON): 48-week results from a randomised,2024
AGYW_HIV_PREP_NMA_REVIEW.html,NCT02732730,"HPTN 082 (oral PrEP, AGYW)",2020,32298430,NO_DATABANK,NCT02732730,,,"American Society of Hematology 2020 guidelines for sickle cell disease: prevention, diagnosis, and t",2020
AGYW_HIV_PREP_NMA_REVIEW.html,NCT01386294,"FACTS-001 (vaginal tenofovir gel, AGYW)",2015,25986365,NO_DATABANK,NCT01386294,,,A smaller amygdala is associated with anxiety in Parkinson's disease: a combined FreeSurfer-VBM stud,2016
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05137002,BrigHTN,2023,36302086,NO_DATABANK,NCT05137002,,,Scapular morphology of great apes and humans: A three-dimensional computed tomography-based comparat,2023
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05001945,Target-HTN,2023,37690061,OK,NCT05001945,NCT05001945,YES,Aldosterone Synthase Inhibition With Lorundrostat for Uncontrolled Hypertension: The Target-HTN Rand,2023
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ALEX,2017,28586279,OK,NCT02075840,NCT02075840,YES,Alectinib versus Crizotinib in Untreated ALK-Positive Non-Small-Cell Lung Cancer.,2017
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ALTA-1L,2018,30280657,OK,NCT02737501,NCT02737501,YES,Brigatinib versus Crizotinib in ALK-Positive Non-Small-Cell Lung Cancer.,2018
ALK_NSCLC_NMA_REVIEW.html,NCT03052608,CROWN,2020,33207094,OK,NCT03052608,NCT03052608,YES,First-Line Lorlatinib or Crizotinib in Advanced ALK-Positive Lung Cancer.,2020
ALK_NSCLC_NMA_REVIEW.html,NCT02767804,eXalt3,2021,34516551,NO_DATABANK,NCT02767804,,,Prenatal care providers' perceptions of the SARS-Cov-2 vaccine for themselves and for pregnant women,2021
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03570749,BRAVE-AA1,2022,35334197,OK,NCT03570749,"NCT03570749,NCT03899259",YES,Two Phase 3 Trials of Baricitinib for Alopecia Areata.,2022
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03899259,BRAVE-AA2,2022,35334197,OK,NCT03899259,"NCT03570749,NCT03899259",YES,Two Phase 3 Trials of Baricitinib for Alopecia Areata.,2022
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03732807,ALLEGRO-2b/3,2023,37148884,NO_DATABANK,NCT03732807,,,Dual-pharmacophore artezomibs hijack the Plasmodium ubiquitin-proteasome system to kill malaria para,2023
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04518995,THRIVE-AA1,2023,37423283,NO_DATABANK,NCT04518995,,,Assessing the impacts of fine sediment removal on endogenous pollution release and microbial communi,2023
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04797650,THRIVE-AA2,2023,37423283,NO_DATABANK,NCT04797650,,,Assessing the impacts of fine sediment removal on endogenous pollution release and microbial communi,2023
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,TULIP-1,2019,38229377,OK,NCT02446912,NCT02446912,YES,Type I interferon inhibitor anifrolumab in active systemic lupus erythematosus (TULIP-1): a randomis,2019
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,TULIP-2,2020,31851795,OK,NCT02446899,NCT02446899,YES,Trial of Anifrolumab in Active Systemic Lupus Erythematosus.,2020
ANTI_CD20_MS_NMA_REVIEW.html,NCT01247324,OPERA I,2017,28002679,OK,NCT01247324,"NCT01247324,NCT01412333",YES,Ocrelizumab versus Interferon Beta-1a in Relapsing Multiple Sclerosis.,2017
ANTI_CD20_MS_NMA_REVIEW.html,NCT01412333,OPERA II,2017,28002679,OK,NCT01412333,"NCT01247324,NCT01412333",YES,Ocrelizumab versus Interferon Beta-1a in Relapsing Multiple Sclerosis.,2017
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792218,ASCLEPIOS I,2020,32757523,OK,NCT02792218,"NCT02792218,NCT02792231",YES,Ofatumumab versus Teriflunomide in Multiple Sclerosis.,2020
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792231,ASCLEPIOS II,2020,32757523,OK,NCT02792231,"NCT02792218,NCT02792231",YES,Ofatumumab versus Teriflunomide in Multiple Sclerosis.,2020
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277261,ULTIMATE I,2022,36044451,NO_DATABANK,NCT03277261,,,Retraction: Foliar application of mepiquat chloride and nitrogen improves yield and fiber quality tr,2022
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277248,ULTIMATE II,2022,36044451,NO_DATABANK,NCT03277248,,,Retraction: Foliar application of mepiquat chloride and nitrogen improves yield and fiber quality tr,2022
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03887455,Clarity AD,2023,36449413,OK,NCT03887455,NCT03887455,YES,Lecanemab in Early Alzheimer's Disease.,2023
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ 2,2023,37459141,OK,NCT04437511,NCT04437511,YES,Donanemab in Early Symptomatic Alzheimer Disease: The TRAILBLAZER-ALZ 2 Randomized Clinical Trial.,2023
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02477800,EMERGE,2022,34807243,OK,NCT02477800,"NCT02477800,NCT02484547",YES,Amyloid-Related Imaging Abnormalities in 2 Phase 3 Studies Evaluating Aducanumab in Patients With Ea,2022
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02484547,ENGAGE,2022,34807243,OK,NCT02484547,"NCT02477800,NCT02484547",YES,Amyloid-Related Imaging Abnormalities in 2 Phase 3 Studies Evaluating Aducanumab in Patients With Ea,2022
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03444870,GRADUATE I,2023,37966285,OK,NCT03444870,"NCT03443973,NCT03444870",YES,Two Phase 3 Trials of Gantenerumab in Early Alzheimer's Disease.,2023
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03443973,GRADUATE II,2023,37966285,OK,NCT03443973,"NCT03443973,NCT03444870",YES,Two Phase 3 Trials of Gantenerumab in Early Alzheimer's Disease.,2023
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT01900665,EXPEDITION 3,2018,29365294,OK,NCT01900665,NCT01900665,YES,Trial of Solanezumab for Mild Dementia Due to Alzheimer's Disease.,2018
ANTIAMYLOID_AD_REVIEW.html,NCT03887455,Clarity-AD,2023,36449413,OK,NCT03887455,NCT03887455,YES,Lecanemab in Early Alzheimer's Disease.,2023
ANTIAMYLOID_AD_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ2,2023,37459141,OK,NCT04437511,NCT04437511,YES,Donanemab in Early Symptomatic Alzheimer Disease: The TRAILBLAZER-ALZ 2 Randomized Clinical Trial.,2023
ANTIAMYLOID_AD_REVIEW.html,NCT02477800,EMERGE,2021,34807243,OK,NCT02477800,"NCT02477800,NCT02484547",YES,Amyloid-Related Imaging Abnormalities in 2 Phase 3 Studies Evaluating Aducanumab in Patients With Ea,2022
ANTIAMYLOID_AD_REVIEW.html,NCT02484547,ENGAGE,2022,34807243,OK,NCT02484547,"NCT02477800,NCT02484547",YES,Amyloid-Related Imaging Abnormalities in 2 Phase 3 Studies Evaluating Aducanumab in Patients With Ea,2022
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00509795,VIEW-1,2012,23084240,NO_DATABANK,NCT00509795,,,Intravitreal aflibercept (VEGF trap-eye) in wet age-related macular degeneration.,2012
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00637377,VIEW-2,2012,23084240,NO_DATABANK,NCT00637377,,,Intravitreal aflibercept (VEGF trap-eye) in wet age-related macular degeneration.,2012
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823287,TENAYA,2022,35085502,OK,NCT03823287,"NCT03823287,NCT03823300",YES,"Efficacy, durability, and safety of intravitreal faricimab up to every 16 weeks for neovascular age-",2022
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823300,LUCERNE,2022,35085502,OK,NCT03823300,"NCT03823287,NCT03823300",YES,"Efficacy, durability, and safety of intravitreal faricimab up to every 16 weeks for neovascular age-",2022
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04423718,PULSAR,2024,38461841,OK,NCT04423718,NCT04423718,YES,Intravitreal aflibercept 8 mg in neovascular age-related macular degeneration (PULSAR): 48-week resu,2024
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02307682,HAWK,2020,30986442,OK,NCT02307682,"NCT02307682,NCT02434328",YES,"HAWK and HARRIER: Phase 3, Multicenter, Randomized, Double-Masked Trials of Brolucizumab for Neovasc",2020
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02434328,HARRIER,2020,30986442,OK,NCT02434328,"NCT02307682,NCT02434328",YES,"HAWK and HARRIER: Phase 3, Multicenter, Randomized, Double-Masked Trials of Brolucizumab for Neovasc",2020
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00593450,CATT,2011,21526923,OK,NCT00593450,NCT00593450,YES,Ranibizumab and bevacizumab for neovascular age-related macular degeneration.,2011
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00056836,MARINA,2006,17021318,OK,NCT00056836,NCT00056836,YES,Ranibizumab for neovascular age-related macular degeneration.,2006
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00061594,ANCHOR,2006,17021319,OK,NCT00061594,NCT00061594,YES,Ranibizumab versus verteporfin for neovascular age-related macular degeneration.,2006
ARPI_mHSPC_REVIEW.html,NCT02677896,ARCHES,2019,31329516,OK,NCT02677896,NCT02677896,YES,"ARCHES: A Randomized, Phase III Study of Androgen Deprivation Therapy With Enzalutamide or Placebo i",2019
ARPI_mHSPC_REVIEW.html,NCT02446405,ENZAMET,2019,31157964,OK,NCT02446405,NCT02446405,YES,Enzalutamide with Standard First-Line Therapy in Metastatic Prostate Cancer.,2019
ARPI_mHSPC_REVIEW.html,NCT02489318,TITAN,2019,31150574,OK,NCT02489318,NCT02489318,YES,"Apalutamide for Metastatic, Castration-Sensitive Prostate Cancer.",2019
ARPI_mHSPC_REVIEW.html,NCT02799602,ARASENS,2022,35179323,OK,NCT02799602,NCT02799602,YES,"Darolutamide and Survival in Metastatic, Hormone-Sensitive Prostate Cancer.",2022
ARPI_mHSPC_REVIEW.html,NCT01715285,LATITUDE,2017,30987939,OK,NCT01715285,NCT01715285,YES,Abiraterone acetate plus prednisone in patients with newly diagnosed high-risk metastatic castration,2019
ARPI_NMCRPC_REVIEW.html,NCT01946204,SPARTAN,2018,29420164,OK,NCT01946204,NCT01946204,YES,Apalutamide Treatment and Metastasis-free Survival in Prostate Cancer.,2018
ARPI_NMCRPC_REVIEW.html,NCT02003924,PROSPER,2018,29949494,OK,NCT02003924,NCT02003924,YES,"Enzalutamide in Men with Nonmetastatic, Castration-Resistant Prostate Cancer.",2018
ARPI_NMCRPC_REVIEW.html,NCT02200614,ARAMIS,2019,30806750,NO_DATABANK,NCT02200614,,,The impact of revascularization on myocardial blood flow as assessed by positron emission tomography,2019
ATOPIC_DERM_NMA_REVIEW.html,NCT02277743,SOLO-1-Dupi,2016,27690741,OK,NCT02277743,"NCT02277743,NCT02277769",YES,Two Phase 3 Trials of Dupilumab versus Placebo in Atopic Dermatitis.,2016
ATOPIC_DERM_NMA_REVIEW.html,NCT03131648,ECZTRA-1,2021,33000465,OK,NCT03131648,"NCT03131648,NCT03160885",YES,"Tralokinumab for moderate-to-severe atopic dermatitis: results from two 52-week, randomized, double-",2021
ATOPIC_DERM_NMA_REVIEW.html,NCT04146363,ADvocate1,2023,36920778,OK,NCT04146363,"NCT04146363,NCT04178967",YES,Two Phase 3 Trials of Lebrikizumab for Moderate-to-Severe Atopic Dermatitis.,2023
ATOPIC_DERM_NMA_REVIEW.html,NCT03985943,ARCADIA-1,2024,39067461,OK,NCT03985943,"NCT03985943,NCT03989349",YES,Nemolizumab with concomitant topical therapy in adolescents and adults with moderate-to-severe atopi,2024
ATOPIC_DERM_NMA_REVIEW.html,NCT03349060,JADE-MONO-1,2020,32711801,OK,NCT03349060,NCT03349060,YES,Efficacy and safety of abrocitinib in adults and adolescents with moderate-to-severe atopic dermatit,2020
ATOPIC_DERM_NMA_REVIEW.html,NCT03569293,MeasureUp-1,2021,35262646,OK,NCT03569293,"NCT03569293,NCT03607422",YES,Efficacy and Safety of Upadacitinib in Patients With Moderate to Severe Atopic Dermatitis: Analysis ,2022
ATOPIC_DERM_NMA_REVIEW.html,NCT03334396,BREEZE-AD1,2020,34437922,NO_DATABANK,NCT03334396,,,JAK inhibitors in the treatment of atopic dermatitis.,2021
ATTR_CM_NMA_REVIEW.html,NCT01994889,ATTR-ACT,2018,30145929,OK,NCT01994889,NCT01994889,YES,Tafamidis Treatment for Patients with Transthyretin Amyloid Cardiomyopathy.,2018
ATTR_CM_NMA_REVIEW.html,NCT04153149,HELIOS-B,2024,39213395,NO_DATABANK,NCT04153149,,,Neoadjuvant 177Lu-DOTATATE for non-functioning pancreatic neuroendocrine tumours (NEOLUPANET): multi,2024
ATTR_CM_NMA_REVIEW.html,NCT03860935,ATTRibute-CM,2024,38197859,NO_DATABANK,NCT03860935,,,Adolescent Tobacco/Nicotine Use and the Potential Role of Contingency Management-based Interventions,2024
ATTR_PN_NMA_REVIEW.html,NCT01960348,APOLLO,2018,29972753,OK,NCT01960348,NCT01960348,YES,"Patisiran, an RNAi Therapeutic, for Hereditary Transthyretin Amyloidosis.",2018
ATTR_PN_NMA_REVIEW.html,NCT03759379,HELIOS-A,2022,35875890,OK,NCT03759379,NCT03759379,YES,Efficacy and safety of vutrisiran for patients with hereditary transthyretin-mediated amyloidosis wi,2023
ATTR_PN_NMA_REVIEW.html,NCT04136184,NEURO-TTRansform,2023,37815926,NO_DATABANK,NCT04136184,,,Metabolism of testosterone and progesterone by cytochrome P450 2C19 allelic variants.,2023
AVACINCAPTAD_GA_REVIEW.html,NCT02686658,GATHER-1,2023,37597519,NO_DATABANK,NCT02686658,,,Immature leaves are the dominant volatile-sensing organs of maize.,2023
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,GATHER-2,2023,37597519,NO_DATABANK,NCT04435366,,,Immature leaves are the dominant volatile-sensing organs of maize.,2023
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02047981,MORDOR-I,2018,29694816,OK,NCT02047981,NCT02047981,YES,Azithromycin to Reduce Childhood Mortality in Sub-Saharan Africa.,2018
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,MORDOR-II,2020,32334706,NO_DATABANK,NCT02048007,,,Malaria eradication.,2020
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT04224987,AVENIR,2024,38913641,NO_DATABANK,NCT04224987,,,Effects of the supportive care needs of patients with cancer on their comfort levels.,2024
BELIMUMAB_SLE_REVIEW.html,NCT00424476,BLISS-52,2011,21296403,OK,NCT00424476,NCT00424476,YES,"Efficacy and safety of belimumab in patients with active systemic lupus erythematosus: a randomised,",2011
BELIMUMAB_SLE_REVIEW.html,NCT00410384,BLISS-76,2011,22127708,OK,NCT00410384,NCT00410384,YES,"A phase III, randomized, placebo-controlled study of belimumab, a monoclonal antibody that inhibits ",2011
BELIMUMAB_SLE_REVIEW.html,NCT01484496,BLISS-SC,2017,28118533,OK,NCT01484496,NCT01484496,YES,Efficacy and Safety of Subcutaneous Belimumab in Systemic Lupus Erythematosus: A Fifty-Two-Week Rand,2017
BELIMUMAB_SLE_REVIEW.html,NCT01639339,BLISS-LN,2020,32937045,OK,NCT01639339,NCT01639339,YES,"Two-Year, Randomized, Controlled Trial of Belimumab in Lupus Nephritis.",2020
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03370133,BE-VIVID,2021,33549193,OK,NCT03370133,NCT03370133,YES,Bimekizumab versus ustekinumab for the treatment of moderate to severe plaque psoriasis (BE VIVID): ,2021
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03410992,BE-READY,2021,33549192,OK,NCT03410992,NCT03410992,YES,"Bimekizumab efficacy and safety in moderate to severe plaque psoriasis (BE READY): a multicentre, do",2021
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,BE-SURE,2021,34260840,NO_DATABANK,NCT03412747,,,"Case 21-2021: A 33-Year-Old Pregnant Woman with Fever, Abdominal Pain, and Headache.",2021
BIOLOGIC_ASTHMA_REVIEW.html,NCT01691521,MENSA,2014,25199059,OK,NCT01691521,NCT01691521,YES,Mepolizumab treatment in patients with severe eosinophilic asthma.,2014
BIOLOGIC_ASTHMA_REVIEW.html,NCT01914757,CALIMA,2016,27609406,OK,NCT01914757,NCT01914757,YES,"Benralizumab, an anti-interleukin-5 receptor α monoclonal antibody, as add-on treatment for patients",2016
BIOLOGIC_ASTHMA_REVIEW.html,NCT02414854,QUEST,2018,29782217,OK,NCT02414854,NCT02414854,YES,Dupilumab Efficacy and Safety in Moderate-to-Severe Uncontrolled Asthma.,2018
BIOLOGIC_ASTHMA_REVIEW.html,NCT03347279,NAVIGATOR,2021,33979488,OK,NCT03347279,NCT03347279,YES,"Tezepelumab in Adults and Adolescents with Severe, Uncontrolled Asthma.",2021
