topic,file,n_ncts,binary_eligible,continuous_eligible,reason
ABLATION_AF,ABLATION_AF_REVIEW.html,4,4,0,EXTRACTION_REGEX_GAP
ACORAMIDIS_ATTR_CM,ACORAMIDIS_ATTR_CM_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
ADC_HER2_ADJUVANT,ADC_HER2_ADJUVANT_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
AFICAMTEN_HCM,AFICAMTEN_HCM_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
ANTIPSYCHOTICS_SCHIZO,ANTIPSYCHOTICS_SCHIZO_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
ARNI_HF,ARNI_HF_REVIEW.html,4,3,1,EXTRACTION_REGEX_GAP
ATTR_CM,ATTR_CM_REVIEW.html,4,4,0,EXTRACTION_REGEX_GAP
BEMPEDOIC_ACID,BEMPEDOIC_ACID_REVIEW.html,6,4,4,EXTRACTION_REGEX_GAP
CAPIVASERTIB_BC,CAPIVASERTIB_BC_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
CHOLERA_OCV,CHOLERA_OCV_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
COVID_ANTIGEN_DTA,COVID_ANTIGEN_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
CRYPTOCOCCAL_MENINGITIS_AFRICA,CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
DDIMER_PE_DTA,DDIMER_PE_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
DELANDISTROGENE_DMD,DELANDISTROGENE_DMD_REVIEW.html,1,0,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
DOAC_CANCER_VTE,DOAC_CANCER_VTE_REVIEW.html,4,4,0,EXTRACTION_REGEX_GAP
DONANEMAB_AD_SOLO,DONANEMAB_AD_SOLO_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
EBOLA_VACCINE,EBOLA_VACCINE_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
EFGARTIGIMOD_MG,EFGARTIGIMOD_MG_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
ELACESTRANT_BC,ELACESTRANT_BC_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
GENEXPERT_ULTRA_TB_DTA,GENEXPERT_ULTRA_TB_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
HIV_ART_FIRSTLINE,HIV_ART_FIRSTLINE_REVIEW.html,1,2,0,EXTRACTION_REGEX_GAP
HSCTN_NSTEMI_DTA,HSCTN_NSTEMI_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
INAVOLISIB_BC,INAVOLISIB_BC_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
INCRETIN_HFpEF,INCRETIN_HFpEF_REVIEW.html,3,3,0,EXTRACTION_REGEX_GAP
IPTACOPAN_IGAN,IPTACOPAN_IGAN_REVIEW.html,1,1,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
IV_IRON_HF,IV_IRON_HF_REVIEW.html,4,4,0,EXTRACTION_REGEX_GAP
MAVACAMTEN_HCM,MAVACAMTEN_HCM_REVIEW.html,4,3,0,EXTRACTION_REGEX_GAP
MEDITERRANEAN_DIET_CV,MEDITERRANEAN_DIET_CV_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
MENTAL_HEALTH_FRIENDSHIP_BENCH,MENTAL_HEALTH_FRIENDSHIP_BENCH_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
MHEALTH_ART_ADHERENCE,MHEALTH_ART_ADHERENCE_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
MIRVETUXIMAB_OVARIAN,MIRVETUXIMAB_OVARIAN_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
MITAPIVAT_THALASSEMIA,MITAPIVAT_THALASSEMIA_REVIEW.html,1,1,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
MPMRI_PROSTATE_DTA,MPMRI_PROSTATE_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
PCSK9,PCSK9_REVIEW.html,4,2,0,EXTRACTION_REGEX_GAP
PEDIATRIC_HIV_ART,PEDIATRIC_HIV_ART_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
PNEUMONIA_AMOXICILLIN_DURATION,PNEUMONIA_AMOXICILLIN_DURATION_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
POSTPARTUM_HEMORRHAGE,POSTPARTUM_HEMORRHAGE_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
PREGNANCY_HIV_VESTED,PREGNANCY_HIV_VESTED_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
PREGNANCY_IRON_FCM,PREGNANCY_IRON_FCM_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
PRIMAQUINE_GAMETOCYTE_DR,PRIMAQUINE_GAMETOCYTE_DR_REVIEW.html,2,1,0,MIXED_OR_ATYPICAL_FORMAT
PTAU217_AD_DTA,PTAU217_AD_DTA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
RESMETIROM_MASH,RESMETIROM_MASH_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
RIVAROXABAN_VASC,RIVAROXABAN_VASC_REVIEW.html,4,4,0,EXTRACTION_REGEX_GAP
RUSFERTIDE_PV,RUSFERTIDE_PV_REVIEW.html,1,1,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
SAM_SIMPLIFIED_PROTOCOL,SAM_SIMPLIFIED_PROTOCOL_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
SCD_DISEASE_MOD,SCD_DISEASE_MOD_REVIEW.html,3,0,0,MIXED_OR_ATYPICAL_FORMAT
SCHISTOSOMIASIS_ARPRAZIQUANTEL,SCHISTOSOMIASIS_ARPRAZIQUANTEL_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
SEVERE_PEDIATRIC_FEBRILE_AFRICA,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
SGLT2_CKD,SGLT2_CKD_REVIEW.html,3,3,0,EXTRACTION_REGEX_GAP
SOTATERCEPT_PAH,SOTATERCEPT_PAH_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
SPARSENTAN_IGAN,SPARSENTAN_IGAN_REVIEW.html,1,1,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
TARLATAMAB_SCLC,TARLATAMAB_SCLC_REVIEW.html,1,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
TB_DRUG_SUSCEPTIBLE_4MO,TB_DRUG_SUSCEPTIBLE_4MO_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
TB_PREVENTION,TB_PREVENTION_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
TEPLIZUMAB_T1D,TEPLIZUMAB_T1D_REVIEW.html,1,1,1,K_LE_1_LEGITIMATELY_UNPOOLABLE
TYVAC_TYPHOID,TYVAC_TYPHOID_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
VITAMIN_D_FRACTURE_FALL,VITAMIN_D_FRACTURE_FALL_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
VOCLOSPORIN_LN,VOCLOSPORIN_LN_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
VORASIDENIB_GLIOMA,VORASIDENIB_GLIOMA_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
VUTRISIRAN_ATTR,VUTRISIRAN_ATTR_REVIEW.html,1,1,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
YELLOW_FEVER_FRACTIONAL,YELLOW_FEVER_FRACTIONAL_REVIEW.html,0,0,0,K_LE_1_LEGITIMATELY_UNPOOLABLE
