pmid	decision	first_failing_criterion	trial	reason	title
42518892	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Efficacy and Safety of SGLT2 Inhibitors and Sotagliflozin in Heart Failure: A Systematic Review and Meta-Analysis of 59 Randomized Controlled Trials.
42222151	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Comparative clinical outcomes and safety of finerenone, SGLT2 inhibitors, RAS inhibitors and ARNI in heart failure with preserved or mildly reduced ej
42211456	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Glucose cotransporter-2 inhibitors on mortality and hospitalization in heart failure patients: a comprehensive meta-analysis.
42181653	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Evaluation of the therapeutic effect of new hypoglycemic drugs on patients with heart failure with reduced ejection fraction and type 2 diabetes: a sy
42086086	EXCLUDE	1		indexed as Network Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Cardiovascular outcomes of novel SGLT2 inhibitors in patients with type 2 diabetes: a network meta-analysis of bexagliflozin, ertugliflozin and sotagl
41892868	EXCLUDE	1		indexed as Systematic Review/Network Meta-Analysis - a synthesis, not a randomised trial	Safety Profile of SGLT-2 Inhibitors in Older Adults: A Systematic Review and Network Meta-Analysis.
41789221	EXCLUDE	1		title states it is a systematic review/meta-analysis	A network meta-analysis of safety and efficacy of sodium-glucose cotransporter 2 inhibitors in heart failure patients.
41771397	EXCLUDE	1		SOLOIST-WHF suPAR biomarker sub-study - a report of an already-included trial, not a separate randomised comparison	Sotagliflozin, suPAR, and Cardiovascular Outcomes in Patients With Diabetes and Heart Failure: A SOLOIST-WHF Ancillary Study.
41569429	EXCLUDE	1		SCORED/SOLOIST staging secondary analysis - a report of an already-included trial, not a separate randomised comparison	Association Between the 2022 AHA/ACC/HFSA Heart Failure Staging and Cardiovascular and Kidney Outcomes in Patients With Diabetes and Kidney Disease: A
41551500	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Dual SGLT1/2 inhibition with sotagliflozin: a pharmaceutical breakthrough in heart failure management and cardiometabolic risk reduction.
41550872	EXCLUDE	1		indexed as Network Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Comparative efficacy and safety of different SGLT2 inhibitor-based combination strategies in HFrEF: a systematic review and network meta-analysis.
41517628	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Effects of SGLT2 Inhibitors on Clinical Outcomes, Symptoms, Functional Capacity, and Cardiac Remodeling in Heart Failure: A Comprehensive Systematic R
41384193	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sodium-Glucose Cotransporter-2 (SGLT2) Inhibitors and Risk of Heart Failure Hospitalization in Type 2 Diabetes: A Systematic Review and Meta-Analysis 
40968746	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	SGLT2 inhibitors for the prevention and treatment of heart failure: A scientific statement of the HFA and the HFAI.
40748666	EXCLUDE	1		SOTA-THROMBOSIS protocol, no results	Rationale and Design of the SOTA-THROMBOSIS Trial (ATRU-VI): Antithrombotic Activities of Sotagliflozin Compared With Empagliflozin.
40726451	EXCLUDE	1		Steno 1 protocol, no results	The Steno 1 study: Multifactorial intervention to reduce cardiovascular disease in type 1 diabetes-rationale and protocol of the prospective, randomiz
40693064	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitors in Heart Failure With Preserved Ejection Fraction: A Systematic Review.
40473549	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Advances in Cardiovascular Pharmacotherapy. III. Sodium-Glucose Cotransporter Type 2 Inhibitors, Part 1: Efficacy in Heart Failure and Myocardial Infa
40324721	EXCLUDE	1		indexed as Network Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Comparative efficacy and safety of SGLT2 inhibitor class members in patients with heart failure and type 2 diabetes: A systematic review and network m
40160590	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Effect of Hypoglycemic Drugs on Patients with Heart Failure with or without T2DM: A Bayesian Network Meta-analysis.
39961315	EXCLUDE	1		SCORED prespecified secondary analysis (MACE) - a report of an already-included trial, not a separate randomised comparison	Effect of sotagliflozin on major adverse cardiovascular events: a prespecified secondary analysis of the SCORED randomised trial.
39893467	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Redefining outcomes of ventricular arrhythmia for SGLT2 inhibitor medication in heart failure patients: a meta-analysis of randomized controlled trial
39801811	EXCLUDE	1		title states it is a systematic review/meta-analysis	Novel Therapies to Reduce Rehospitalization Risk in Worsening Heart Failure: Systematic Review and Network Meta-Analysis.
39564882	UNCLEAR	-		title does not state design and no publication type is indexed; cannot tell an RCT report from a synthesis without the full record	Effects of sodium-glucose co-transporter inhibitors on individual clinical endpoints and quality of life.
39400108	EXCLUDE	1		indexed as Systematic Review/Meta-Analysis - a synthesis, not a randomised trial	Empagliflozin and other SGLT2 inhibitors in patients with heart failure and preserved ejection fraction: a systematic review and meta-analysis.
39260929	EXCLUDE	1		SOLOIST-WHF health-status secondary analysis - a report of an already-included trial, not a separate randomised comparison	Effects of Sotagliflozin on Health Status in Patients With Worsening Heart Failure: Results From SOLOIST-WHF.
39257196	EXCLUDE	1		indexed as Meta-Analysis/Review - a synthesis, not a randomised trial	Meta-analysis of sotagliflozin, a dual sodium-glucose-cotransporter 1/2 inhibitor, for heart failure in type 2 diabetes.
38878007	EXCLUDE	1		SOLOIST-WHF cost-effectiveness analysis - a report of an already-included trial, not a separate randomised comparison	Cost-Effectiveness of Sotagliflozin in SOLOIST-WHF.
38845687	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Effects of different sodium-glucose cotransporter 2 inhibitors in heart failure with reduced or preserved ejection fraction: a network meta-analysis.
38396657	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Risks and Benefits of SGLT-2 Inhibitors for Type 1 Diabetes Patients Using Automated Insulin Delivery Systems-A Literature Review.
38293914	EXCLUDE	1		indexed as Network Meta-Analysis - a synthesis, not a randomised trial	Comparison of Effectiveness Among Different Sodium-Glucose Cotransoporter-2 Inhibitors According to Underlying Conditions: A Network Meta-Analysis of 
38179304	EXCLUDE	1		indexed as Systematic Review/Network Meta-Analysis - a synthesis, not a randomised trial	Comparative cardiovascular benefits of individual SGLT2 inhibitors in type 2 diabetes and heart failure: a systematic review and network meta-analysis
38044937	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Cardiovascular benefits and safety of sotagliflozin in type 2 diabetes mellitus patients with heart failure or cardiovascular risk factors: a bayesian
37966828	EXCLUDE	1		indexed as Systematic Review/Meta-Analysis - a synthesis, not a randomised trial	Sodium-glucose co-transporter-2 inhibitors for the prevention of atrial fibrillation: a systemic review and meta-analysis.
37891550	EXCLUDE	1		indexed as Network Meta-Analysis - a synthesis, not a randomised trial	Impact of SGLT2 inhibitors on patient outcomes: a network meta-analysis.
37868384	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sotagliflozin vs Dapagliflozin: A Systematic Review Comparing Cardiovascular Mortality.
37856368	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Adverse events and drug-drug interactions of sodium glucose co-transporter 2 inhibitors in patients treated for heart failure.
37558385	EXCLUDE	1		SOLOIST-WHF post hoc analysis - a report of an already-included trial, not a separate randomised comparison	Effect of Sotagliflozin on Early Mortality and Heart Failure-Related Events: A Post Hoc Analysis of SOLOIST-WHF.
37542422	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	The Impact of SGLT2 Inhibitors on Cardiovascular Outcomes in Patients With Heart Failure With Preserved Ejection Fraction.
37318685	EXCLUDE	1		SOTA-P-CARDIA protocol, no results	Rationale and Design of the SOTA-P-CARDIA Trial (ATRU-V): Sotagliflozin in HFpEF Patients Without Diabetes.
36971375	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sodium-glucose cotransporter 2 inhibitors and cardiovascular clinical outcomes in acute heart failure: A narrative review.
36967133	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Systematic review of sodium-glucose cotransporter 2 inhibitors: a hopeful prospect in tackling heart failure-related events.
